Name,sleeper_id,Pos,Team,exp,bd,age,espn_id,clean_name,Bye,ESPN,ECR,ADP,Yahoo,Sleeper,Rank
Ja'Marr Chase,7564,WR,CIN,4,2000-03-01,25.5,4362628,jamarr chase,10,1,1,1,1,1.8,1
Justin Jefferson,6794,WR,MIN,5,1999-06-16,26.2,4262921,justin jefferson,6,3,2,2,2,2.5,2
Bijan Robinson,9509,RB,ATL,2,2002-01-30,23.6,4430807,bijan robinson,5,2,3,3,8,3.9,3
Jahmyr Gibbs,9221,RB,DET,2,2002-03-20,23.5,4429795,jahmyr gibbs,8,4,6,6,6,4.2,4
Malik Nabers,11632,WR,NYG,1,2003-07-28,22.1,4595348,malik nabers,14,5,4,5,4,5.6,5
CeeDee Lamb,6786,WR,DAL,5,1999-04-08,26.4,4241389,ceedee lamb,10,6,5,4,7,6.9,6
Ashton Jeanty,12527,RB,LV,0,2003-12-02,21.7,4890973,ashton jeanty,8,9,7,7,5,7.4,7
Brock Bowers,11604,TE,LV,1,2002-12-13,22.7,4432665,brock bowers,8,11,13,12,11,8.0,8
Amon-Ra St. Brown,7547,WR,DET,4,1999-10-24,25.9,4374302,amon-ra st brown,8,8,10,9,12,8.8,9
Saquon Barkley,4866,RB,PHI,7,1997-02-09,28.6,3929630,saquon barkley,9,14,14,10,20,10.1,10
Puka Nacua,9493,WR,LAR,2,2001-05-29,24.3,4426515,puka nacua,8,7,9,8,3,11.1,11
Josh Allen,4984,QB,BUF,7,1996-05-21,29.3,3918298,josh allen,7,21,27,21,32,12.3,12
Brian Thomas,11631,WR,JAC,1,2002-10-08,22.9,4432773,brian thomas,8,10,8,11,9,13.3,13
Jayden Daniels,11566,QB,WAS,1,2000-12-18,24.7,4426348,jayden daniels,12,17,29,24,26,14.3,14
Nico Collins,7569,WR,HOU,4,1999-03-19,26.5,4258173,nico collins,6,16,11,13,14,15.9,15
Lamar Jackson,4881,QB,BAL,7,1997-01-07,28.6,3916387,lamar jackson,7,22,28,25,33,16.4,16
De'Von Achane,9226,RB,MIA,2,2001-10-13,23.9,4429160,devon achane,12,12,16,16,16,17.1,17
Drake London,8112,WR,ATL,3,2001-07-24,24.1,4426502,drake london,5,15,12,14,13,17.1,18
Ladd McConkey,11635,WR,LAC,1,2001-11-11,23.8,4612826,ladd mcconkey,12,23,15,15,10,19.5,19
Marvin Harrison,11628,WR,ARI,1,2002-08-11,23.1,4432708,marvin harrison,8,18,21,19,23,20.8,20
Trey McBride,8130,TE,ARI,3,1999-11-22,25.8,4361307,trey mcbride,8,20,25,18,31,21.3,21
Bucky Irving,11584,RB,TB,1,2002-08-19,23.0,4596448,bucky irving,9,29,24,22,24,22.8,22
Omarion Hampton,12507,RB,LAC,0,2003-03-16,22.5,4685382,omarion hampton,12,13,18,23,15,23.1,23
A.J. Brown,5859,WR,PHI,6,1997-06-30,28.2,4047646,aj brown,9,24,20,20,21,24.5,24
Joe Burrow,6770,QB,CIN,5,1996-12-10,28.7,3915511,joe burrow,10,28,35,38,61,25.3,25
Garrett Wilson,8146,WR,NYJ,3,2000-07-22,25.1,4569618,garrett wilson,9,33,19,26,17,26.2,26
Jaxon Smith-Njigba,9488,WR,SEA,2,2002-02-14,23.5,4430878,jaxon smith-njigba,8,26,17,17,18,26.4,27
Jonathan Taylor,6813,RB,IND,5,1999-01-19,26.6,4242335,jonathan taylor,11,25,22,27,30,28.3,28
Jalen Hurts,6904,QB,PHI,5,1998-08-07,27.1,4040715,jalen hurts,9,27,42,39,37,29.0,29
Breece Hall,8155,RB,NYJ,3,2001-05-31,24.3,4427366,breece hall,9,47,26,28,25,30.5,30
Kyren Williams,8150,RB,LAR,3,2000-08-26,25.0,4430737,kyren williams,8,34,37,33,43,31.8,31
Christian McCaffrey,4034,RB,SF,8,1996-06-07,29.2,3117251,christian mccaffrey,14,19,59,35,49,32.9,32
Travis Hunter,12530,WR,JAC,0,2003-05-18,22.3,4685415,travis hunter,8,37,31,31,22,33.3,33
Josh Jacobs,5850,RB,GB,6,1998-02-11,27.6,4047365,josh jacobs,5,36,39,40,36,34.5,34
Derrick Henry,3198,RB,BAL,9,1994-01-04,31.7,3043078,derrick henry,7,65,60,34,64,35.4,35
Tetairoa McMillan,12526,WR,CAR,0,2003-04-05,22.4,4685472,tetairoa mcmillan,14,30,23,32,19,35.7,36
Tee Higgins,6801,WR,CIN,5,1999-01-18,26.6,4239993,tee higgins,10,32,30,29,28,37.7,37
James Cook,8138,RB,BUF,3,1999-09-25,25.9,4379399,james cook,7,35,44,49,48,38.2,38
TreVeyon Henderson,12529,RB,NE,0,2002-10-22,22.9,4432710,treveyon henderson,14,38,33,36,29,39.1,39
Sam LaPorta,10859,TE,DET,2,2001-01-12,24.6,4430027,sam laporta,8,39,41,44,57,40.8,40
Rashee Rice,10229,WR,KC,2,2000-04-22,25.4,4428331,rashee rice,10,40,32,30,27,41.9,41
Chase Brown,9224,RB,CIN,2,2000-03-21,25.4,4362238,chase brown,10,61,38,46,38,42.0,42
Quinshon Judkins,12512,RB,CLE,0,2003-10-29,21.8,4685702,quinshon judkins,9,63,74,47,81,43.2,43
Terry McLaurin,5927,WR,WAS,6,1995-09-15,30.0,3121422,terry mclaurin,12,49,55,41,50,44.5,44
Rome Odunze,11620,WR,CHI,1,2002-06-03,23.2,4431299,rome odunze,5,41,43,45,46,44.6,45
Xavier Worthy,11624,WR,KC,1,2003-04-27,22.3,4683062,xavier worthy,10,31,49,42,35,46.0,46
DeVonta Smith,7525,WR,PHI,4,1998-11-14,26.8,4241478,devonta smith,9,53,34,37,42,47.9,47
Kenneth Walker,8151,RB,SEA,3,2000-10-20,24.9,4567048,kenneth walker,8,45,46,43,47,48.3,48
Patrick Mahomes,4046,QB,KC,8,1995-09-17,30.0,3139477,patrick mahomes,10,46,45,60,73,49.1,49
RJ Harvey,12489,RB,DEN,0,2001-02-04,24.6,4568490,rj harvey,12,67,54,50,40,50.3,50
Zay Flowers,9997,WR,BAL,2,2000-09-11,25.0,4429615,zay flowers,7,43,40,48,34,51.8,51
Kaleb Johnson,12504,RB,PIT,0,2003-08-14,22.1,4819231,kaleb johnson,5,89,62,54,52,52.5,52
George Kittle,4217,TE,SF,8,1993-10-09,31.9,3040151,george kittle,14,44,57,53,82,53.6,53
Chuba Hubbard,7594,RB,CAR,4,1999-06-11,26.2,4241416,chuba hubbard,14,70,72,61,58,54.0,54
Tyler Warren,12518,TE,IND,0,2002-05-24,23.3,4431459,tyler warren,11,58,51,57,63,55.4,55
Emeka Egbuka,12514,WR,TB,0,2002-10-14,22.9,4567750,emeka egbuka,9,56,36,51,45,56.0,56
Joe Mixon,4018,RB,HOU,8,1996-07-24,29.1,3116385,joe mixon,6,93,137,71,106,57.7,57
Jordan Addison,9756,WR,MIN,2,2002-01-27,23.6,4429205,jordan addison,6,59,52,63,51,58.1,58
Tyreek Hill,3321,WR,MIA,9,1994-03-01,31.5,3116406,tyreek hill,12,76,76,56,88,59.6,59
DK Metcalf,5846,WR,PIT,6,1997-12-14,27.7,4047650,dk metcalf,5,77,47,55,62,60.7,60
DJ Moore,4983,WR,CHI,7,1997-04-14,28.4,3915416,dj moore,5,48,53,52,41,61.4,61
George Pickens,8137,WR,DAL,3,2001-03-04,24.5,4426354,george pickens,10,72,61,62,39,62.5,62
Chris Olave,8144,WR,NO,3,2000-06-27,25.2,4361370,chris olave,11,64,63,64,53,62.6,63
T.J. Hockenson,5844,TE,MIN,6,1997-07-03,28.2,4036133,tj hockenson,6,51,58,70,75,64.2,64
Jameson Williams,8148,WR,DET,3,2001-03-26,24.4,4426388,jameson williams,8,55,50,58,54,65.3,65
Bo Nix,11563,QB,DEN,1,2000-02-25,25.5,4426338,bo nix,12,62,67,72,83,66.0,66
Colston Loveland,12517,TE,CHI,0,2004-04-09,21.4,4723086,colston loveland,5,57,64,66,68,67.6,67
Alvin Kamara,4035,RB,NO,8,1995-07-25,30.1,3054850,alvin kamara,11,90,78,67,87,68.6,68
Matthew Golden,12501,WR,GB,0,2003-08-01,22.1,4701936,matthew golden,5,42,75,69,60,69.8,69
David Montgomery,5892,RB,DET,6,1997-06-07,28.2,4035538,david montgomery,8,108,77,76,85,70.3,70
Jaylen Waddle,7526,WR,MIA,4,1998-11-25,26.8,4372016,jaylen waddle,12,54,48,59,44,71.6,71
Mike Evans,2216,WR,TB,11,1993-08-21,32.0,16737,mike evans,9,78,73,65,69,71.6,72
Caleb Williams,11560,QB,CHI,1,2001-11-18,23.8,4431611,caleb williams,5,50,80,84,99,73.7,73
Isiah Pacheco,8205,RB,KC,3,1999-03-02,26.5,4361529,isiah pacheco,10,110,93,77,100,74.6,74
Jerry Jeudy,6783,WR,CLE,5,1999-04-24,26.4,4241463,jerry jeudy,9,52,69,74,71,75.4,75
Justin Herbert,6797,QB,LAC,5,1998-03-10,27.5,4038941,justin herbert,12,75,56,92,94,76.4,76
Cam Skattebo,12481,RB,NYG,0,2002-02-05,23.6,4696981,cam skattebo,14,100,111,78,80,77.8,77
C.J. Stroud,9758,QB,HOU,2,2001-10-03,23.9,4432577,cj stroud,6,92,71,103,95,78.5,78
Tyrone Tracy,11655,RB,NYG,1,1999-11-23,25.8,4360516,tyrone tracy,14,103,105,90,89,79.1,79
Davante Adams,2133,WR,LAR,11,1992-12-24,32.7,16800,davante adams,8,66,66,68,86,80.7,80
Drake Maye,11564,QB,NE,1,2002-08-30,23.0,4431452,drake maye,14,69,65,83,79,81.0,81
James Conner,4137,RB,ARI,8,1995-05-05,30.3,3045147,james conner,8,91,101,79,101,82.5,82
Brian Robinson,8154,RB,SF,3,1999-03-22,26.4,4241474,brian robinson,14,152,154,96,113,83.5,83
D'Andre Swift,6790,RB,CHI,5,1999-01-14,26.6,4259545,dandre swift,5,73,89,89,91,84.3,84
Courtland Sutton,5045,WR,DEN,7,1995-10-10,29.9,3128429,courtland sutton,12,79,88,73,77,85.7,85
Travis Etienne,7543,RB,JAC,4,1999-01-26,26.6,4239996,travis etienne,8,123,116,85,140,86.4,86
Brandon Aiyuk,6803,WR,SF,5,1998-03-17,27.5,4360438,brandon aiyuk,14,83,95,81,67,87.8,87
Dalton Kincaid,10236,TE,BUF,2,1999-10-18,25.9,4385690,dalton kincaid,7,125,85,94,92,88.3,88
Mark Andrews,5012,TE,BAL,7,1995-09-06,30.0,3116365,mark andrews,7,84,81,87,123,89.0,89
Luther Burden,12519,WR,CHI,0,2003-12-12,21.7,4685278,luther burden,5,71,87,75,59,90.0,90
Ricky Pearsall,11638,WR,SF,1,2000-09-09,25.0,4428209,ricky pearsall,14,81,70,80,70,91.5,91
Jayden Reed,10222,WR,GB,2,2000-04-28,25.3,4362249,jayden reed,5,111,92,86,56,92.4,92
Tre' Harris,12509,WR,LAC,0,2002-02-28,23.5,4686612,tre harris,12,94,98,102,90,93.4,93
Jayden Higgins,12484,WR,HOU,0,2002-12-15,22.7,4877706,jayden higgins,6,95,90,82,76,94.0,94
Tony Pollard,5967,RB,TEN,6,1997-04-30,28.3,3916148,tony pollard,10,109,84,100,111,95.5,95
Zach Charbonnet,9753,RB,SEA,2,2001-01-08,24.6,4426385,zach charbonnet,8,149,113,106,110,96.5,96
Baker Mayfield,4892,QB,TB,7,1995-04-14,30.4,3052587,baker mayfield,9,85,103,113,116,97.4,97
Chris Godwin,4037,WR,TB,8,1996-02-27,29.5,3116165,chris godwin,9,68,100,91,78,98.1,98
Tucker Kraft,9484,TE,GB,2,2000-11-03,24.8,4572680,tucker kraft,5,101,68,95,97,98.9,99
Khalil Shakir,8134,WR,BUF,3,2000-02-03,25.6,4373678,khalil shakir,7,98,94,88,65,100.4,100
Josh Downs,9500,WR,IND,2,2001-08-12,24.1,4688813,josh downs,11,112,83,93,55,101.9,101
Aaron Jones,4199,RB,MIN,8,1994-12-02,30.7,3042519,aaron jones,6,139,104,99,120,102.3,102
Keon Coleman,11637,WR,BUF,1,2003-05-17,22.3,4635008,keon coleman,7,80,109,111,98,103.0,103
Kyle Pitts,7553,TE,ATL,4,2000-10-06,24.9,4360248,kyle pitts,5,126,107,108,152,104.6,104
Jordan Love,6804,QB,GB,5,1998-11-02,26.8,4036378,jordan love,5,86,86,121,112,105.9,105
Deebo Samuel,5872,WR,WAS,6,1996-01-15,29.6,3126486,deebo samuel,12,113,120,109,104,106.4,106
Trey Benson,11589,RB,ARI,1,2002-07-23,23.1,4429275,trey benson,8,104,112,114,115,107.7,107
Cam Ward,12522,QB,TEN,0,2002-05-25,23.3,4688380,cam ward,10,88,133,131,142,107.8,108
Najee Harris,7528,RB,LAC,4,1998-03-09,27.5,4241457,najee harris,12,216,144,122,170,109.2,109
Jack Bech,12483,WR,LV,0,2002-12-18,22.7,4603186,jack bech,8,117,138,125,118,110.3,110
Travis Kelce,1466,TE,KC,12,1989-10-05,35.9,15847,travis kelce,10,102,115,112,145,111.2,111
Bhayshul Tuten,12490,RB,JAC,0,2002-02-14,23.5,4882093,bhayshul tuten,8,97,122,110,74,112.0,112
J.J. McCarthy,11565,QB,MIN,1,2003-01-20,22.6,4433970,jj mccarthy,6,87,114,129,114,113.1,113
David Njoku,4033,TE,CLE,8,1996-07-10,29.1,3123076,david njoku,9,60,79,107,105,114.9,114
Kyler Murray,5849,QB,ARI,6,1997-08-07,28.1,3917315,kyler murray,8,82,91,97,109,115.9,115
Jakobi Meyers,5947,WR,LV,6,1996-11-09,28.8,3916433,jakobi meyers,8,106,106,104,72,116.2,116
Calvin Ridley,4981,WR,TEN,7,1994-12-20,30.7,3925357,calvin ridley,10,99,97,98,93,116.9,117
Cooper Kupp,4039,WR,SEA,8,1993-06-15,32.2,2977187,cooper kupp,8,114,136,116,149,118.4,118
Isaiah Likely,8131,TE,BAL,3,2000-04-18,25.4,4361050,isaiah likely,7,203,108,120,127,119.4,119
Jaydon Blue,12457,RB,DAL,0,2004-01-08,21.6,4685279,jaydon blue,10,150,160,117,139,120.6,120
Michael Pittman,6819,WR,IND,5,1997-10-05,27.9,4035687,michael pittman,11,96,99,105,84,121.1,121
Jaylen Warren,8228,RB,PIT,3,1998-11-01,26.8,4569987,jaylen warren,5,107,127,118,126,122.0,122
Jalen McMillan,11618,WR,TB,1,2001-12-07,23.7,4430834,jalen mcmillan,9,178,140,149,169,123.2,123
Brock Purdy,8183,QB,SF,3,1999-12-27,25.7,4361741,brock purdy,14,74,82,126,102,124.5,124
Jauan Jennings,7049,WR,SF,5,1997-07-10,28.1,3886598,jauan jennings,14,116,110,101,66,125.2,125
Rhamondre Stevenson,7611,RB,NE,4,1998-02-23,27.5,4569173,rhamondre stevenson,14,140,149,130,147,125.8,126
Jonnu Smith,4144,TE,PIT,8,1995-08-22,30.0,3054212,jonnu smith,5,191,162,152,193,127.7,127
Kyle Williams,12547,WR,NE,0,2002-11-13,22.8,4613202,kyle williams,14,121,139,119,103,128.0,128
Tyjae Spears,9508,RB,TEN,2,2001-06-15,24.2,4428557,tyjae spears,10,138,164,124,128,129.0,129
Javonte Williams,7588,RB,DAL,4,2000-04-25,25.4,4361579,javonte williams,10,105,151,128,168,130.3,130
Stefon Diggs,2449,WR,NE,10,1993-11-29,31.8,2976212,stefon diggs,14,115,117,115,121,131.6,131
Jordan Mason,8408,RB,MIN,3,1999-05-24,26.3,4360569,jordan mason,6,166,130,127,134,132.6,132
Mason Taylor,12498,TE,NYJ,0,2004-05-08,21.3,4808766,mason taylor,9,142,118,134,125,133.4,133
Tank Bigsby,9225,RB,JAC,2,2002-08-30,23.0,4429013,tank bigsby,8,137,145,136,138,134.4,134
Jake Ferguson,8110,TE,DAL,3,1999-01-18,26.6,4242355,jake ferguson,10,127,124,135,159,134.8,135
Michael Penix,11559,QB,ATL,1,2000-05-08,25.3,4360423,michael penix,5,118,135,150,135,136.6,136
Darnell Mooney,7090,WR,ATL,5,1997-10-29,27.8,4040655,darnell mooney,5,168,128,133,124,137.6,137
Jaylin Noel,12536,WR,HOU,0,2002-09-04,23.0,4586312,jaylin noel,6,158,125,142,96,138.7,138
Jared Goff,3163,QB,DET,9,1994-10-14,30.9,3046779,jared goff,8,153,126,140,133,139.5,139
Rachaad White,8136,RB,TB,3,1999-01-12,26.6,4697815,rachaad white,9,167,152,139,143,140.2,140
Xavier Legette,11626,WR,CAR,1,2001-01-29,24.6,4430034,xavier legette,14,120,155,146,176,141.3,141
Marvin Mims,9494,WR,DEN,2,2002-03-19,23.5,4686472,marvin mims,12,129,134,147,137,142.5,142
Evan Engram,4066,TE,DEN,8,1994-09-02,31.0,3051876,evan engram,12,124,96,123,122,143.6,143
Rashid Shaheed,8676,WR,NO,3,1998-08-31,27.0,4032473,rashid shaheed,11,130,129,132,131,144.0,144
Dylan Sampson,12469,RB,CLE,0,2004-09-14,21.0,5081397,dylan sampson,9,162,157,145,108,145.2,145
J.K. Dobbins,6806,RB,DEN,5,1998-12-17,26.7,4241985,jk dobbins,12,165,176,138,158,146.6,146
Devin Neal,12476,RB,NO,0,2003-08-12,22.1,4682652,devin neal,11,223,231,160,162,147.0,147
Isaac Guerendo,11651,RB,SF,1,2000-06-28,25.2,4372561,isaac guerendo,14,186,206,144,119,148.0,148
Trevor Lawrence,7523,QB,JAC,4,1999-10-06,25.9,4360310,trevor lawrence,8,155,102,151,107,149.6,149
Braelon Allen,11576,RB,NYJ,1,2004-01-20,21.6,4685247,braelon allen,9,163,147,148,130,150.3,150
Ray Davis,11575,RB,BUF,1,1999-11-11,25.8,4429501,ray davis,7,187,175,143,132,151.6,151
Pat Freiermuth,7600,TE,PIT,4,1998-10-25,26.9,4361411,pat freiermuth,5,146,167,178,190,152.0,152
Jaylen Wright,11643,RB,MIA,1,2003-04-01,22.4,4682745,jaylen wright,12,164,213,153,144,152.8,153
Rashod Bateman,7571,WR,BAL,4,1999-11-29,25.8,4360939,rashod bateman,7,147,141,137,174,154.7,154
Dak Prescott,3294,QB,DAL,9,1993-07-29,32.1,2577417,dak prescott,10,148,119,141,146,155.9,155
Justin Fields,7591,QB,NYJ,4,1999-03-05,26.5,4362887,justin fields,9,154,146,157,117,156.3,156
Blake Corum,11586,RB,LAR,1,2000-11-25,24.8,4429096,blake corum,8,183,194,166,165,157.7,157
Jalen Royals,12505,WR,KC,0,2003-02-18,22.5,5082630,jalen royals,10,181,170,163,201,158.0,158
Cade Otton,8111,TE,TB,3,1999-04-15,26.4,4243331,cade otton,9,192,179,172,196,159.0,159
Quentin Johnston,9754,WR,LAC,2,2001-09-06,24.0,4429025,quentin johnston,12,193,177,162,141,160.6,160
Tyler Allgeier,8132,RB,ATL,3,2000-04-15,25.4,4373626,tyler allgeier,5,215,191,155,150,161.4,161
Bryce Young,9228,QB,CAR,2,2001-07-25,24.1,4685720,bryce young,14,156,148,164,179,161.8,162
Terrance Ferguson,12487,TE,LAR,0,2003-03-07,22.5,4570037,terrance ferguson,8,144,142,159,184,163.5,163
Dallas Goedert,5022,TE,PHI,7,1995-01-03,30.7,3121023,dallas goedert,9,135,121,154,136,164.4,164
Rico Dowdle,7021,RB,CAR,5,1998-06-14,27.2,4038815,rico dowdle,14,237,200,169,233,165.3,165
Elijah Arroyo,12521,TE,SEA,0,2003-04-05,22.4,4678006,elijah arroyo,8,143,131,165,166,166.4,166
Tank Dell,9502,WR,HOU,2,1999-10-29,25.8,4366031,tank dell,6,232,196,183,231,167.7,167
Cedric Tillman,10444,WR,CLE,2,2000-04-19,25.4,4369863,cedric tillman,9,131,132,156,178,168.1,168
Jaxson Dart,12508,QB,NYG,0,2003-05-13,22.3,4689114,jaxson dart,14,157,159,168,183,169.2,169
Elic Ayomanor,12499,WR,TEN,0,2003-06-03,22.2,4883647,elic ayomanor,10,182,156,179,195,170.4,170
Jalen Coker,11646,WR,CAR,1,2001-10-30,23.8,4695883,jalen coker,14,230,150,188,189,170.9,171
Christian Kirk,4950,WR,HOU,7,1996-11-18,28.8,3895856,christian kirk,6,180,143,167,164,172.0,172
Harold Fannin,12506,TE,CLE,0,2004-07-20,21.1,5083076,harold fannin,9,219,163,175,154,173.9,173
Ollie Gordon,12495,RB,MIA,0,2004-01-15,21.6,4711533,ollie gordon,12,235,203,187,191,174.1,174
Hollywood Brown,5848,WR,KC,6,1997-06-04,28.2,4241372,hollywood brown,10,132,169,170,175,175.5,175
Wan'Dale Robinson,8126,WR,NYG,3,2001-01-05,24.7,4569587,wandale robinson,14,134,165,158,207,176.5,176
Jalen Milroe,12510,QB,SEA,0,2002-12-13,22.7,4432734,jalen milroe,8,176,225,199,225,177.0,177
Jerome Ford,8143,RB,CLE,3,1999-09-12,26.0,4372019,jerome ford,9,221,201,185,198,178.4,178
DJ Giddens,12471,RB,IND,0,2003-08-26,22.0,4874509,dj giddens,11,222,198,176,156,179.3,179
Trevor Etienne,12531,RB,CAR,0,2004-07-09,21.1,4685350,trevor etienne,14,185,235,182,186,179.5,180
Adonai Mitchell,11625,WR,IND,1,2002-10-08,22.9,4597500,adonai mitchell,11,133,168,193,194,181.4,181
Pat Bryant,12492,WR,DEN,0,2002-12-10,22.7,4600981,pat bryant,12,122,186,161,163,182.8,182
Austin Ekeler,4663,RB,WAS,8,1995-05-17,30.3,3068267,austin ekeler,12,151,220,173,187,183.0,183
Jonathon Brooks,11583,RB,CAR,1,2003-07-21,22.1,4678008,jonathon brooks,14,184,229,203,217,184.0,184
MarShawn Lloyd,11581,RB,GB,1,2001-01-05,24.7,4429023,marshawn lloyd,5,200,208,197,182,185.6,185
Romeo Doubs,8121,WR,GB,3,2000-04-13,25.4,4361432,romeo doubs,5,198,153,171,181,186.1,186
Jordan James,12467,RB,SF,0,2004-03-29,21.4,4685397,jordan james,14,999,239,191,177,187.6,187
Nick Chubb,4988,RB,HOU,7,1995-12-27,29.7,3128720,nick chubb,6,999,202,184,204,188.1,188
Jarquez Hunter,11569,RB,LAR,0,2002-12-29,22.7,4710341,jarquez hunter,8,161,187,180,153,188.7,189
DeMario Douglas,9501,WR,NE,2,2000-12-08,24.7,4427095,demario douglas,14,170,173,174,172,190.3,190
Isaac TeSlaa,12535,WR,DET,0,2002-02-20,23.5,5123663,isaac teslaa,8,159,178,189,208,191.3,191
Shedeur Sanders,12524,QB,CLE,0,2002-02-07,23.6,4432762,shedeur sanders,9,238,248,223,999,192.6,192
Roschon Johnson,10235,RB,CHI,2,2001-01-31,24.6,4426386,roschon johnson,5,220,224,186,155,193.6,193
Kendre Miller,9757,RB,NO,2,2002-06-11,23.2,4599739,kendre miller,11,217,230,215,222,194.5,194
Anthony Richardson,9229,QB,IND,2,2002-05-22,23.3,4429084,anthony richardson,11,226,182,207,129,195.6,195
Brenton Strange,9480,TE,JAC,2,2000-12-27,24.7,4430539,brenton strange,8,204,161,177,157,196.8,196
Cole Kmet,6826,TE,CHI,5,1999-03-10,26.5,4258595,cole kmet,5,999,199,218,244,197.8,197
Ben Sinnott,11596,TE,WAS,1,2002-06-14,23.2,4690923,ben sinnott,12,209,192,233,223,197.9,198
Tory Horton,12497,WR,SEA,0,2002-11-29,22.8,4597703,tory horton,8,199,174,210,185,199.3,199
Woody Marks,12474,RB,HOU,0,2000-12-29,24.7,4429059,woody marks,6,201,221,194,151,200.3,200
Ja'Tavion Sanders,11600,TE,CAR,1,2003-03-27,22.4,4431588,jatavion sanders,14,207,180,212,197,201.6,201
Brashard Smith,12455,RB,KC,0,2003-04-11,22.4,4596602,brashard smith,10,999,210,195,148,202.5,202
Alec Pierce,8142,WR,IND,3,2000-05-02,25.3,4360078,alec pierce,11,999,197,181,200,203.8,203
Tua Tagovailoa,6768,QB,MIA,5,1998-03-02,27.5,4241479,tua tagovailoa,12,119,158,198,160,204.5,204
Troy Franklin,11627,WR,DEN,1,2003-02-06,22.6,4431280,troy franklin,12,999,188,219,248,205.7,205
Joshua Palmer,7670,WR,BUF,4,1999-09-22,25.9,4242433,joshua palmer,7,171,171,192,999,206.1,206
Audric Estime,11579,RB,PHI,1,2003-09-06,22.0,4569682,audric estime,9,999,306,296,999,206.3,207
Theo Johnson,11597,TE,NYG,1,2001-02-26,24.5,4429148,theo johnson,14,208,193,246,210,208.4,208
Roman Wilson,11630,WR,PIT,1,2001-06-19,24.2,4431492,roman wilson,5,999,205,216,219,209.7,209
Sam Darnold,4943,QB,SEA,7,1997-06-05,28.2,3912547,sam darnold,8,173,172,252,209,210.0,210
Zach Ertz,1339,TE,WAS,12,1990-11-10,34.8,15835,zach ertz,12,214,214,200,218,211.1,211
Adam Thielen,1689,WR,MIN,12,1990-08-22,35.0,16460,adam thielen,6,999,207,208,999,212.5,212
Chig Okonkwo,8210,TE,TEN,3,1999-09-08,26.0,4360635,chig okonkwo,10,145,185,202,216,213.5,213
Keaton Mitchell,9511,RB,BAL,2,2002-01-17,23.6,4596334,keaton mitchell,7,999,238,236,232,214.7,214
Xavier Restrepo,12520,WR,TEN,0,2002-04-12,23.4,4431353,xavier restrepo,10,999,357,245,999,215.2,215
Eagles D/ST,PHI,D/ST,PHI,NA,NA,NA,-16021,eagles d/st,9,999,249,220,999,215.8,216
Kyle Monangai,12534,RB,CHI,0,2002-06-06,23.2,4608686,kyle monangai,5,999,219,204,180,215.9,217
Broncos D/ST,DEN,D/ST,DEN,NA,NA,NA,-16007,broncos d/st,12,999,243,224,999,217.0,218
Dontayvion Wicks,9486,WR,GB,2,2001-06-16,24.2,4428850,dontayvion wicks,5,999,189,239,221,217.7,219
Damien Martinez,12462,RB,SEA,0,2004-01-31,21.6,4808830,damien martinez,8,999,311,277,999,218.7,220
Andrei Iosivas,10226,WR,CIN,2,1999-10-15,25.9,4368003,andrei iosivas,10,999,217,234,999,219.6,221
Steelers D/ST,PIT,D/ST,PIT,NA,NA,NA,-16023,steelers d/st,5,999,250,228,999,220.8,222
Will Shipley,11577,RB,PHI,1,2002-08-29,23.0,4431545,will shipley,9,218,222,201,171,220.8,223
Hunter Henry,3214,TE,NE,9,1994-12-07,30.7,3046439,hunter henry,14,136,166,196,214,221.3,224
Christian Watson,8167,WR,GB,3,1999-05-12,26.3,4248528,christian watson,5,196,181,217,192,222.6,225
Commanders D/ST,WAS,D/ST,WAS,NA,NA,NA,-16028,commanders d/st,12,999,309,257,999,222.7,226
Noah Gray,7828,TE,KC,4,1999-04-30,26.3,4240472,noah gray,10,999,261,282,205,223.5,227
Amari Cooper,2309,WR,LV,10,1994-06-17,31.2,2976499,amari cooper,8,206,234,279,999,224.3,228
Justice Hill,5995,RB,BAL,6,1997-11-14,27.8,4038441,justice hill,7,236,305,214,250,224.6,229
Ravens D/ST,BAL,D/ST,BAL,NA,NA,NA,-16033,ravens d/st,7,999,342,227,999,224.8,230
Tahj Brooks,12543,RB,CIN,0,2002-05-13,23.3,4429299,tahj brooks,10,999,216,206,161,226.6,231
Tai Felton,12496,WR,MIN,0,2003-03-15,22.5,4565185,tai felton,6,160,265,275,237,227.1,232
Vikings D/ST,MIN,D/ST,MIN,NA,NA,NA,-16016,vikings d/st,6,999,257,231,999,227.2,233
Dalton Schultz,5001,TE,HOU,7,1996-07-11,29.1,3117256,dalton schultz,6,213,215,318,227,228.3,234
49ers D/ST,SF,D/ST,SF,NA,NA,NA,-16025,49ers d/st,14,999,420,261,999,228.7,235
Kareem Hunt,4098,RB,KC,8,1995-08-06,30.1,3059915,kareem hunt,10,999,287,243,242,229.1,236
Texans D/ST,HOU,D/ST,HOU,NA,NA,NA,-16034,texans d/st,6,999,262,235,999,230.0,237
Tyler Shough,12545,QB,NO,0,1999-09-28,25.9,4360689,tyler shough,11,227,226,309,213,230.3,238
Oronde Gadsden,12493,TE,LAC,0,2003-06-25,22.2,4595342,oronde gadsden,12,999,211,211,202,231.4,239
Jordan Whittington,11623,WR,LAR,1,2000-10-01,24.9,4569382,jordan whittington,8,999,242,280,999,232.7,240
