Name,sleeper_id,Pos,Team,exp,bd,age,espn_id,clean_name,Bye,ESPN,ECR,ADP,Yahoo,Sleeper,Rank
Jontre Kirklin,8628,WR,FA,2,1998-10-09,26.9,NA,NA,,999,999,999,999,999.0,1499
Sam Rogers,4250,FB,FA,5,1995-04-12,30.4,NA,NA,,999,999,999,999,999.0,1500
Nakia Griffin-Stewart,7359,TE,FA,2,1996-11-12,28.8,NA,NA,,999,999,999,999,999.0,1501
Andrew Turzilli,2804,WR,FA,5,1991-10-13,33.9,NA,NA,,999,999,999,999,999.0,1502
Marcus Simms,6712,WR,FA,5,1997-12-18,27.7,NA,NA,,999,999,999,999,999.0,1503
Mike Rigerman,12246,TE,FA,1,2001-06-29,24.2,NA,NA,,999,999,999,999,999.0,1504
Brian Burt,6629,WR,FA,3,,,NA,NA,,999,999,999,999,999.0,1505
Joseph Randle,1487,RB,FA,7,1991-12-29,33.7,NA,NA,,999,999,999,999,999.0,1506
Luke Floriea,13189,WR,FA,0,2001-10-23,23.9,NA,NA,,999,999,999,999,999.0,1507
Grayson Gunter,8638,TE,FA,1,1997-11-13,27.8,NA,NA,,999,999,999,999,999.0,1508
Spencer Nigh,7212,FB,FA,2,1998-01-18,27.6,NA,NA,,999,999,999,999,999.0,1509
Alex Bachman,6386,WR,LV,6,1996-05-29,29.3,3919510,alex bachman,8,999,999,999,999,999.0,1510
Chase Ford,1739,TE,FA,8,1990-07-19,35.1,NA,NA,,999,999,999,999,999.0,1511
Branden Oliver,2050,RB,FA,6,1991-05-07,34.3,NA,NA,,999,999,999,999,999.0,1512
Izaiah Gathings,11524,TE,FA,1,2000-09-18,25.0,NA,NA,,999,999,999,999,999.0,1513
Gus Johnson,2785,RB,FA,7,1993-08-10,32.1,NA,NA,,999,999,999,999,999.0,1514
Pharaoh Brown,4443,TE,FA,8,1994-05-04,31.3,2971281,pharaoh brown,,999,999,999,999,999.0,1515
Jacob Saylors,11237,RB,DET,2,2001-03-08,24.5,4383429,jacob saylors,8,999,999,999,999,999.0,1516
Tony Brown,7078,WR,FA,2,1997-08-08,28.1,3915821,tony brown,,999,999,999,999,999.0,1517
Darrin Hall,6448,RB,FA,3,1996-09-06,29.0,NA,NA,,999,999,999,999,999.0,1518
Ty Montgomery,2399,RB,FA,8,1993-01-22,32.6,2577134,ty montgomery,,999,999,999,999,999.0,1519
Britain Covey,8414,WR,PHI,3,1997-03-18,28.5,3926231,britain covey,9,999,999,999,999,999.0,1520
Nick Muse,8523,TE,FA,3,1998-11-25,26.8,4249624,nick muse,,999,999,999,999,999.0,1521
