Team,Pos,Bye,Name,Rank,CBS,Yahoo,ADP,ECR,NFL
NE,WR,11,Ja'Lynn Polk,140,186,160,175,168,158
IND,WR,11,Adonai Mitchell,141,184,147,142,160,129
LAR,RB,10,Blake Corum,142,124,121,115,125,117
GB,RB,6,MarShawn Lloyd,143,162,159,153,158,176
NE,RB,11,Antonio Gibson,144,144,149,149,152,186
CAR,RB,7,Miles Sanders,145,999,208,259,216,999
CHI,RB,13,Khalil Herbert,146,172,141,181,155,185
CAR,WR,7,Xavier Legette,147,193,213,152,177,154
LAC,WR,5,Joshua Palmer,148,141,130,132,132,147
ARI,WR,14,Michael Wilson,149,999,155,166,165,140
DAL,WR,7,Brandin Cooks,150,163,142,145,135,132
GB,WR,6,Romeo Doubs,151,142,114,125,129,123
GB,WR,6,Dontayvion Wicks,152,179,137,155,153,130
DEN,RB,9,Jaleel McLaughlin,153,155,154,149,151,179
BUF,RB,13,Ray Davis,154,180,189,168,161,999
MIA,RB,10,Jaylen Wright,155,160,157,138,169,195
LV,RB,13,Alexander Mattison,156,999,999,218,192,999
SF,RB,9,Jordan Mason,157,999,180,999,999,999
KC,RB,10,Clyde Edwards-Helaire,158,187,999,209,209,999
DAL,RB,7,Rico Dowdle,159,114,125,128,137,999
IND,WR,11,Josh Downs,160,210,135,161,154,155
LV,WR,13,Tre Tucker,161,999,999,999,999,999
LAR,WR,10,Demarcus Robinson,162,999,185,237,184,201
MIA,QB,10,Tua Tagovailoa,163,103,112,107,87,137
DET,QB,9,Jared Goff,164,92,96,108,90,113
NYJ,TE,7,Tyler Conklin,165,183,179,183,164,199
TEN,TE,7,Chigoziem Okonkwo,166,999,170,193,188,183
NE,TE,11,Hunter Henry,167,196,163,177,150,200
NO,TE,11,Juwan Johnson,168,999,999,243,176,204
CLE,D/ST,5,Browns D/ST,169,999,999,999,999,999
DAL,D/ST,7,Cowboys D/ST,170,999,999,999,999,999
NYJ,D/ST,7,Jets D/ST,171,999,999,999,999,999
BAL,D/ST,13,Ravens D/ST,172,999,999,999,999,999
SF,D/ST,9,49ers D/ST,173,999,999,999,999,999
PIT,D/ST,6,Steelers D/ST,174,999,999,999,999,999
MIA,D/ST,10,Dolphins D/ST,175,999,999,999,999,999
NO,D/ST,11,Saints D/ST,176,999,999,999,999,999
JAC,D/ST,9,Jacquarfs D/ST,177,999,999,999,999,999
CIN,D/ST,7,Bengals D/ST,178,999,999,999,999,999
KC,D/ST,10,Chiefs D/ST,179,999,999,999,999,999
DET,D/ST,9,Lions D/ST,180,999,999,999,999,999
KC,K,10,Harrison Butker,181,999,999,999,999,999
DAL,K,7,Brandon Aubrey,182,999,999,999,999,999
BAL,K,13,Justin Tucker,183,999,999,999,999,999
PHI,K,10,Jake Elliott,184,999,999,999,999,999
NYJ,K,7,Greg Zuerlein,185,999,999,999,999,999
HOU,K,7,Ka'imi Fairbairn,186,999,999,999,999,999
CIN,K,7,Evan McPherson,187,999,999,999,999,999
SF,K,9,Jake Moody,188,999,999,999,999,999
LAC,K,5,Cameron Dicker,189,999,999,999,999,999
CHI,K,13,Cairo Santos,190,999,999,999,999,999
ATL,K,11,Younghoe Koo,191,999,999,999,999,999
DET,K,9,Jake Bates,192,999,999,999,999,999
CHI,TE,13,Cole Kmet,193,132,145,130,148,144
NYG,WR,13,Jalin Hyatt,194,999,999,291,195,212
TB,RB,5,Bucky Irving,195,181,166,169,181,221
NO,RB,11,Jamaal Williams,196,999,999,237,215,999
LAR,QB,10,Matthew Stafford,197,149,131,146,112,114
CAR,QB,7,Bryce Young,198,999,215,202,162,161
NYG,QB,13,Daniel Jones,199,999,177,204,156,160
TB,QB,5,Baker Mayfield,200,158,152,155,131,143
NYG,WR,13,Wan'Dale Robinson,201,206,191,220,185,165
LAC,WR,5,DJ Chark Jr.,202,999,999,287,213,999
TEN,WR,7,Tyler Boyd,203,999,999,240,207,175
NE,WR,11,Kendrick Bourne,204,999,207,339,222,182
BAL,WR,13,Rashod Bateman,205,999,150,225,172,159
GB,TE,6,Tucker Kraft,206,999,999,321,202,189
GB,TE,6,Luke Musgrave,207,164,133,151,146,177
DAL,WR,7,Jalen Tolbert,208,999,999,999,999,999
NYG,WR,13,Darius Slayton,209,999,999,300,194,178
TB,WR,5,Jalen McMillan,210,999,190,268,221,171
DEN,WR,9,Josh Reynolds,211,999,999,999,999,999
NYG,RB,13,Tyrone Tracy Jr.,212,189,184,164,211,999
BAL,RB,13,Keaton Mitchell,213,999,999,247,204,217
NO,RB,11,Kendre Miller,214,203,195,180,171,210
TB,TE,5,Cade Otton,215,999,175,192,170,181
SEA,TE,5,Noah Fant,216,999,156,217,182,999
LAC,TE,5,Hayden Hurst,217,999,999,999,999,999
SEA,QB,5,Geno Smith,218,175,140,183,126,150
TEN,QB,7,Will Levis,219,200,176,177,140,151
PIT,QB,6,Russell Wilson,220,999,999,219,190,148
CLE,RB,5,D'Onta Foreman,221,202,999,239,203,999
PHI,RB,10,Kenneth Gainwell,222,205,218,223,214,222
NYJ,RB,7,Braelon Allen,223,177,181,166,173,999
DEN,WR,9,Marvin Mims Jr.,224,999,174,223,178,142
JAC,RB,9,Tank Bigsby,225,999,999,221,198,999
BUF,RB,13,Ty Johnson,226,999,999,999,999,999
MIA,WR,10,Odell Beckham Jr.,227,999,999,279,219,193
ARI,WR,14,Zay Jones,228,999,999,999,999,188
CIN,WR,7,Andrei Iosivas,229,999,219,999,999,999
LAC,WR,5,Quentin Johnston,230,999,193,182,191,135
ATL,WR,11,Ray-Ray McCloud III,231,999,999,999,999,999
TB,WR,5,Trey Palmer,232,999,999,999,999,999
