Rank,Name,Team,Pos
1,David Johnson,Ari,RB
2,Le'Veon Bell,Pit,RB
3,Antonio Brown,Pit,WR
4,Julio Jones,Atl,WR
5,Odell Beckham Jr.,NYG,WR
6,LeSean McCoy,Buf,RB
7,Jordy Nelson,GB,WR
8,Mike Evans,TB,WR
9,A.J. Green,Cin,WR
10,Devonta Freeman,Atl,RB
11,Michael Thomas,NO,WR
12,Melvin Gordon,LAC,RB
13,Jordan Howard,Chi,RB
14,DeMarco Murray,Ten,RB
15,Jay Ajayi,Mia,RB
16,Doug Baldwin,Sea,WR
17,Brandin Cooks,NE,WR
18,T.Y. Hilton,Ind,WR
19,Todd Gurley,LAR,RB
20,Rob Gronkowski,NE,TE
21,Dez Bryant,Dal,WR
22,Amari Cooper,Oak,WR
23,Leonard Fournette,Jax,RB
24,Demaryius Thomas,Den,WR
25,Lamar Miller,Hou,RB
26,Terrelle Pryor Sr.,Wsh,WR
27,Alshon Jeffery,Phi,WR
28,DeAndre Hopkins,Hou,WR
29,Isaiah Crowell,Cle,RB
30,Ezekiel Elliott,Dal,RB
31,Michael Crabtree,Oak,WR
32,Keenan Allen,LAC,WR
33,Golden Tate,Det,WR
34,Christian McCaffrey,Car,RB
35,Marshawn Lynch,Oak,RB
36,Larry Fitzgerald,Ari,WR
37,Ty Montgomery,GB,RB
38,Kareem Hunt,KC,RB
39,Dalvin Cook,Min,RB
40,Jordan Reed,Wsh,TE
41,Carlos Hyde,SF,RB
42,Davante Adams,GB,WR
43,Jarvis Landry,Mia,WR
44,Emmanuel Sanders,Den,WR
45,Bilal Powell,NYJ,RB
46,Tom Brady,NE,QB
47,Aaron Rodgers,GB,QB
48,Danny Woodhead,Bal,RB
49,Travis Kelce,KC,TE
50,Jamison Crowder,Wsh,WR
51,Kelvin Benjamin,Car,WR
52,Allen Robinson,Jax,WR
53,Tyreek Hill,KC,WR
54,Joe Mixon,Cin,RB
55,Greg Olsen,Car,TE
56,Sammy Watkins,LAR,WR
57,Drew Brees,NO,QB
58,Pierre Garcon,SF,WR
59,Stefon Diggs,Min,WR
